Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
SNP,*,*,ALL,*,QUAL,0.000000,0.99582,0.996107,0.052596000000000004,0.9959629999999999,3,5,2809091522,2580704662.000000,0.000000,6937,5288.000000,1650.000000,.,.,3.204848484848485,,6908,5267.000000,1642.000000,.,.,3.207673568818514,,29,21.000000,8.000000,.,.,2.625,,7320,5522.000000,1802.000000,.,.,3.064372918978912,,6908,5267.000000,1642.000000,.,.,3.207673568818514,,27,18.000000,9.000000,.,.,2.0,,385,237.000000,151.000000,.,.,1.5695364238410596,
SNP,*,*,ALL,*,QUAL,10.600000,0.9945219999999999,0.996821,0.044726999999999996,0.99567,3,5,2809091522,2580704662.000000,0.000000,6937,.,1650.000000,.,.,,,6899,.,1641.000000,.,.,,,38,.,9.000000,.,.,,,7244,.,1771.000000,.,.,,,6898,.,1640.000000,.,.,,,22,.,7.000000,.,.,,,324,.,124.000000,.,.,,
SNP,*,*,ALL,*,QUAL,11.200000,0.9943780000000001,0.996964,0.044343,0.99567,3,5,2809091522,2580704662.000000,0.000000,6937,.,.,.,.,,,6898,.,.,.,.,,,39,.,.,.,.,,,7239,.,.,.,.,,,6897,.,.,.,.,,,21,.,.,.,.,,,321,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,11.800000,0.993801,0.996964,0.043959,0.9953799999999999,3,5,2809091522,2580704662.000000,0.000000,6937,.,.,.,.,,,6894,.,.,.,.,,,43,.,.,.,.,,,7234,.,.,.,.,,,6895,.,.,.,.,,,21,.,.,.,.,,,318,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,12.500000,0.993657,0.997107,0.043316,0.9953790000000001,3,5,2809091522,2580704662.000000,0.000000,6937,.,.,.,.,,,6893,.,.,.,.,,,44,.,.,.,.,,,7226,.,.,.,.,,,6893,.,.,.,.,,,20,.,.,.,.,,,313,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,13.100000,0.9933690000000001,0.9971059999999999,0.042792000000000004,0.9952340000000001,3,5,2809091522,2580704662.000000,0.000000,6937,.,.,.,.,,,6891,.,.,.,.,,,46,.,.,.,.,,,7221,.,.,.,.,,,6892,.,.,.,.,,,20,.,.,.,.,,,309,.,.,.,.,,
SNP,*,*,ALL,*,QUAL,14.300000,0.993225,0.99725,0.04214,0.995233,2,5,2809091522,2580704662.000000,0.000000,6937,5288.000000,.,.,.,,,6890,5252.000000,.,.,.,,,47,36.000000,.,.,.,,,7214,5455.000000,.,.,.,,,6891,5253.000000,.,.,.,,,19,13.000000,.,.,.,,,304,189.000000,.,.,.,,
SNP,*,*,ALL,*,QUAL,14.900000,0.993225,0.997394,0.04162,0.9953049999999999,2,5,2809091522,2580704662.000000,0.000000,6937,5288.000000,.,.,.,,,6890,5251.000000,.,.,.,,,47,37.000000,.,.,.,,,7208,5451.000000,.,.,.,,,6890,5252.000000,.,.,.,,,18,13.000000,.,.,.,,,300,186.000000,.,.,.,,
SNP,*,*,ALL,*,QUAL,15.600000,0.992936,0.9975379999999999,0.041111,0.995232,1,5,2809091522,2580704662.000000,0.000000,6937,5288.000000,.,.,.,,,6888,5250.000000,.,.,.,,,49,38.000000,.,.,.,,,7200,5446.000000,.,.,.,,,6887,5249.000000,.,.,.,,,17,12.000000,.,.,.,,,296,185.000000,.,.,.,,
SNP,*,*,ALL,*,QUAL,16.200001,0.99236,0.9975370000000001,0.040456,0.994942,1,5,2809091522,2580704662.000000,0.000000,6937,.,.,.,.,,,6884,.,.,.,.,,,53,.,.,.,.,,,7193,.,.,.,.,,,6885,.,.,.,.,,,17,.,.,.,.,,,291,.,.,.,.,,
