Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.942308,0.89645,0.157107,0.9188069999999999,3,8,2809091522,2579745414.000000,0.000000,312,.,.,177.000000,121.000000,,1.462809917355372,294,.,.,165.000000,117.000000,,1.4102564102564104,18,.,.,12.000000,4.000000,,3.0,401,.,.,249.000000,145.000000,,1.717241379310345,303,.,.,183.000000,117.000000,,1.564102564102564,35,.,.,27.000000,6.000000,,4.5,63,.,.,39.000000,22.000000,,1.7727272727272727
INDEL,*,*,PASS,*,QUAL,*,0.942308,0.89645,0.157107,0.9188069999999999,3,8,2809091522,2579745414.000000,0.000000,312,.,.,177.000000,121.000000,,1.462809917355372,294,.,.,165.000000,117.000000,,1.4102564102564104,18,.,.,12.000000,4.000000,,3.0,401,.,.,249.000000,145.000000,,1.717241379310345,303,.,.,183.000000,117.000000,,1.564102564102564,35,.,.,27.000000,6.000000,,4.5,63,.,.,39.000000,22.000000,,1.7727272727272727
INDEL,*,TS_boundary,ALL,*,QUAL,*,1.0,1.0,0.8,1.0,0,0,3022319832.000000,2579745414.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,3.000000,2.000000,,1.5,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4,.,.,2.000000,2.000000,,1.0
INDEL,*,TS_boundary,PASS,*,QUAL,*,1.0,1.0,0.8,1.0,0,0,3022319832.000000,2579745414.000000,0.000000,1,.,.,1.000000,0.000000,,,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,5,.,.,3.000000,2.000000,,1.5,1,.,.,1.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4,.,.,2.000000,2.000000,,1.0
INDEL,*,TS_contained,ALL,*,QUAL,*,0.9421219999999999,0.896142,0.0,0.918557,3,8,2579745414.000000,2579745414.000000,0.000000,311,.,.,176.000000,121.000000,,1.4545454545454546,293,.,.,164.000000,117.000000,,1.4017094017094016,18,.,.,12.000000,4.000000,,3.0,337,.,.,209.000000,123.000000,,1.6991869918699187,302,.,.,182.000000,117.000000,,1.5555555555555556,35,.,.,27.000000,6.000000,,4.5,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.9421219999999999,0.896142,0.0,0.918557,3,8,2579745414.000000,2579745414.000000,0.000000,311,.,.,176.000000,121.000000,,1.4545454545454546,293,.,.,164.000000,117.000000,,1.4017094017094016,18,.,.,12.000000,4.000000,,3.0,337,.,.,209.000000,123.000000,,1.6991869918699187,302,.,.,182.000000,117.000000,,1.5555555555555556,35,.,.,27.000000,6.000000,,4.5,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,2809091522,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,3022319832.000000,2579745414.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
